Time,Cars,Buses,Bikes,Persons,Total,Unique,Traffic_Status
23:22:37,4,0,0,0,4,4,LOW
23:22:42,7,1,0,0,8,8,LOW
23:22:48,9,1,0,0,10,10,LOW
23:22:53,9,1,0,0,10,10,LOW
23:22:58,12,1,0,1,13,14,MEDIUM
23:23:03,12,1,0,0,13,15,MEDIUM
23:23:08,13,1,0,0,14,16,MEDIUM
23:23:13,12,1,0,0,13,16,MEDIUM
23:23:18,13,1,0,0,14,17,MEDIUM
23:23:24,12,1,0,1,13,18,MEDIUM
23:23:29,12,1,0,0,13,18,MEDIUM
23:23:34,12,1,0,0,13,18,MEDIUM
23:23:39,11,1,0,0,12,18,MEDIUM
23:23:44,12,1,0,0,13,20,MEDIUM
23:23:49,11,1,0,0,12,20,MEDIUM
23:23:54,10,1,0,0,11,20,MEDIUM
00:02:05,4,0,0,0,4,4,LOW
00:02:11,8,1,0,0,9,9,LOW
00:02:16,9,1,0,0,10,10,LOW
00:02:21,12,1,0,1,13,14,MEDIUM
00:02:26,12,1,0,0,13,15,MEDIUM
00:02:31,13,1,0,0,14,16,MEDIUM
00:02:36,12,1,0,0,13,17,MEDIUM
00:02:41,12,1,0,0,13,18,MEDIUM
00:02:46,12,1,0,0,13,18,MEDIUM
00:02:51,11,1,0,0,12,19,MEDIUM
00:02:56,11,1,0,0,12,20,MEDIUM
00:03:01,11,1,0,0,12,21,MEDIUM
00:05:34,6,1,0,0,7,7,LOW
00:05:40,8,1,0,0,9,10,LOW
00:05:45,11,1,0,0,12,12,MEDIUM
00:05:50,12,1,0,0,13,15,MEDIUM
00:05:55,13,1,0,0,14,16,MEDIUM
00:06:00,12,1,0,0,13,17,MEDIUM
00:06:05,12,1,0,1,13,18,MEDIUM
00:06:10,12,1,0,0,13,18,MEDIUM
00:06:15,11,1,0,0,12,18,MEDIUM
00:06:20,12,1,0,0,13,20,MEDIUM
00:06:25,10,1,0,0,11,20,MEDIUM
10:48:11,4,0,0,0,4,4,LOW
10:48:16,7,1,0,0,8,8,LOW
10:48:21,7,1,0,0,8,9,LOW
10:48:26,9,1,0,0,10,10,LOW
10:48:31,11,1,0,0,12,12,MEDIUM
10:48:36,11,1,0,0,12,14,MEDIUM
14:34:06,4,0,0,0,4,4,LOW
14:34:11,4,0,0,0,4,4,LOW
14:34:16,6,0,0,0,6,6,LOW
14:34:22,6,0,0,0,6,6,LOW
14:34:27,7,1,0,0,8,8,LOW
14:34:33,7,1,0,0,8,9,LOW
14:34:39,7,1,0,0,8,9,LOW
14:34:44,9,1,0,0,10,10,LOW
14:34:49,10,1,0,0,11,11,MEDIUM
14:34:54,12,1,0,1,13,14,MEDIUM
14:34:59,12,1,0,0,13,15,MEDIUM
14:35:04,13,1,0,0,14,16,MEDIUM
14:35:09,12,1,0,0,13,16,MEDIUM
14:35:15,12,1,0,0,13,17,MEDIUM
14:35:23,12,1,0,1,13,18,MEDIUM
14:35:28,12,1,0,0,13,18,MEDIUM
14:35:33,10,1,0,0,11,18,MEDIUM
14:35:38,12,1,0,0,13,20,MEDIUM
14:35:43,11,1,0,0,12,20,MEDIUM
14:35:48,11,1,0,0,12,21,MEDIUM
